feature,importance
X86_LOCAL_APIC,0.0
OPENVSWITCH,0.00012292291172726739
TEXTSEARCH_FSM,9.931276928998949e-08
NETFILTER_XT_MATCH_TCPMSS,2.778998760256753e-07
MPLS,7.870552228945166e-06
NFC_HCI,6.891967460916082e-08
NETFILTER_XT_MATCH_TIME,2.7738519688907033e-08
NET_MPLS_GSO,3.0810131193294493e-06
NFC_SHDLC,4.1905125877475353e-05
NETFILTER_XT_MATCH_U32,2.7003157682430796e-09
OPENVSWITCH_GRE,2.416126551340302e-08
NFC_TRF7970A,3.1292783627740703e-06
OPENVSWITCH_VXLAN,0.0
NFC_MEI_PHY,0.0
INTEL_MEI,7.794494139975816e-08
VXLAN,3.091549171799739e-11
IP_SET_BITMAP_IP,1.621835993505133e-10
OPENVSWITCH_GENEVE,4.015202990835066e-09
NFC_SIM,3.267676063855103e-09
GENERIC_IRQ_EFFECTIVE_AFF_MASK,1.6443138982857388e-06
IP_SET_BITMAP_IPMAC,8.444438555026154e-08
GENEVE,6.324714416908385e-10
SMP,8.80270737057945e-08
IP_SET_BITMAP_PORT,3.736152348070375e-09
VSOCKETS,4.524328040758817e-08
NFC_PORT100,2.551333954138114e-09
GENERIC_IRQ_MIGRATION,3.4877065343741597e-06
IP_SET_HASH_IP,0.0
VMWARE_VMCI_VSOCKETS,4.647669509125651e-07
NFC_FDP,1.2030526665897918e-05
IP_SET_HASH_IPMARK,7.00334057145047e-14
NFC_FDP_I2C,1.5089997233151123e-08
VMWARE_VMCI,2.1714380805190895e-07
IP_SET_HASH_IPPORT,0.0
VIRTIO_VSOCKETS,1.6858212519114446e-06
NFC_PN544,0.00018502912292797335
NEED_DMA_MAP_STATE,0.0
GENERIC_PENDING_IRQ,4.2419143598253276e-07
IP_SET_HASH_IPPORTIP,4.449413829475637e-07
VIRTIO_VSOCKETS_COMMON,2.1317542120035482e-09
NFC_PN544_I2C,9.931013144807179e-11
NETLINK_DIAG,2.2463698856879005e-05
NFC_PN544_MEI,4.422621422054599e-10
INTEL_IOMMU,2.3029567014025446e-09
IP_SET_HASH_IPPORTNET,2.9012854865629142e-11
MPLS_ROUTING,1.4439826083324855e-05
NFC_PN533,1.0088557643096565e-08
DMA_API_DEBUG,2.8138647437293483e-06
SWIOTLB,0.0
IP_SET_HASH_IPMAC,1.0658040453921516e-09
MPLS_IPTUNNEL,2.0456554843954012e-07
NFC_PN533_USB,1.3411002880836274e-08
IP_SET_HASH_MAC,5.5110144778830634e-12
HSR,1.554334508691276e-06
NFC_PN533_I2C,5.059639140335486e-08
X86_POWERNOW_K7_ACPI,0.0
PATA_SERVERWORKS,0.0
ATH9K_DYNACK,0.0
SERIAL_FSL_LPUART_CONSOLE,1.7948971513207044e-06
OMAP_WATCHDOG,1.628089393525353e-07
DVB_PLL,2.1893608247498717e-07
CHROMEOS_LAPTOP,6.175595475729394e-07
STACK_TRACER,1.7379241456404856e-06
X86_POWERNOW_K8,3.852706373417996e-06
BINFMT_AOUT,0.0
PATA_SIL680,0.0
ATH9K_WOW,2.2451901151173232e-07
SERIAL_CONEXANT_DIGICOLOR,3.922729095585841e-07
MEDIA_TUNER_MT2060,4.6003338743957277e-08
CHROMEOS_PSTORE,4.679578692988909e-06
BLK_DEV_IO_TRACE,1.0366120548276399e-05
X86_AMD_FREQ_SENSITIVITY,6.158328106816758e-07
PATA_TOSHIBA,1.0894972584979753e-07
ATH9K_RFKILL,0.0
SERIAL_CONEXANT_DIGICOLOR_CONSOLE,1.1735372930160713e-08
DVB_USB_DIBUSB_MB,0.0
CROS_EC_CHARDEV,7.68916183290179e-06
KPROBE_EVENTS,6.359787412444641e-07
X86_GX_SUSPMOD,0.0
PATA_TRIFLEX,0.0
ATH9K_CHANNEL_CONTEXT,0.0
SERIAL_ST_ASC,2.729646176295348e-07
DAVINCI_WATCHDOG,2.9592496264885304e-07
DVB_DIB3000MB,3.30525078144366e-08
RTC_SYSTOHC,2.4610544198770257e-07
CROS_EC_LPC,2.259925004967909e-07
PROBE_EVENTS,8.327561801608357e-06
X86_SPEEDSTEP_CENTRINO,1.3055615609391423e-07
BINFMT_MISC,4.1043861785355005e-07
PATA_VIA,0.0
ATH9K_PCOEM,0.0
SERIAL_ST_ASC_CONSOLE,5.176256930602933e-07
DVB_USB_DIBUSB_MB_FAULTY,0.0
CROS_EC_LPC_MEC,1.1714342262925452e-07
UPROBE_EVENTS,3.4691943679264005e-06
X86_SPEEDSTEP_CENTRINO_TABLE,0.0
ATH9K_HTC_DEBUGFS,0.0
SERIAL_MEN_Z135,3.3831181261057522e-06
RN5T618_WATCHDOG,3.937096927835431e-09
DVB_USB_DIBUSB_MC,0.0
RTC_DEBUG,8.824117662818312e-06
CROS_KBD_LED_BACKLIGHT,5.404868341757756e-07
BPF_EVENTS,6.026630283632778e-05
X86_SPEEDSTEP_ICH,0.0
IA32_AOUT,1.056251697876226e-06
PATA_WINBOND,0.0
MFD_RN5T618,5.458611538748884e-08
DVB_USB_DIB0700,1.1385139915588027e-08
RTC_NVMEM,2.2585198972676816e-06
HAVE_CLK_PREPARE,1.1959597438421346e-06
MCB,6.452667669091209e-08
FUNCTION_PROFILER,2.863009690183725e-07
X86_SPEEDSTEP_SMI,0.0
X86_X32,1.2445531007307308e-07
ATH9K_HWRNG,0.0
SUNXI_WATCHDOG,4.779074175397803e-07
DVB_DIB7000P,4.3764460989753653e-07
