feature,importance
X86_LOCAL_APIC,9.484037e-06
OPENVSWITCH,7.324557e-05
TEXTSEARCH_FSM,1.9985315e-05
NETFILTER_XT_MATCH_TCPMSS,1.5167207e-05
MPLS,6.684952e-06
NFC_HCI,5.7800695e-05
NETFILTER_XT_MATCH_TIME,1.0857672e-06
NET_MPLS_GSO,4.0081727e-06
NFC_SHDLC,0.00014813853
NETFILTER_XT_MATCH_U32,0.0
OPENVSWITCH_GRE,7.714841e-06
NFC_TRF7970A,0.00011484107
OPENVSWITCH_VXLAN,0.0
NFC_MEI_PHY,2.8443126e-05
INTEL_MEI,4.0040472e-06
VXLAN,1.1858015e-05
IP_SET_BITMAP_IP,7.171117e-05
OPENVSWITCH_GENEVE,1.1296486e-06
NFC_SIM,3.8025453e-05
GENERIC_IRQ_EFFECTIVE_AFF_MASK,8.5668595e-05
IP_SET_BITMAP_IPMAC,4.1775937e-05
GENEVE,0.00029509197
SMP,0.0
IP_SET_BITMAP_PORT,0.0
VSOCKETS,6.292172e-07
NFC_PORT100,1.2558542e-05
GENERIC_IRQ_MIGRATION,0.0
IP_SET_HASH_IP,0.0
VMWARE_VMCI_VSOCKETS,0.0036205368
NFC_FDP,3.8934613e-06
IP_SET_HASH_IPMARK,0.0
NFC_FDP_I2C,0.0
VMWARE_VMCI,8.573571e-05
IP_SET_HASH_IPPORT,1.8847244e-05
VIRTIO_VSOCKETS,0.0
NFC_PN544,0.0
NEED_DMA_MAP_STATE,3.6155405e-05
GENERIC_PENDING_IRQ,0.0
IP_SET_HASH_IPPORTIP,0.0
VIRTIO_VSOCKETS_COMMON,0.0
NFC_PN544_I2C,0.0
NETLINK_DIAG,3.604449e-06
NFC_PN544_MEI,0.0
INTEL_IOMMU,5.117089e-07
IP_SET_HASH_IPPORTNET,4.8226134e-08
MPLS_ROUTING,0.0
NFC_PN533,2.7373306e-05
DMA_API_DEBUG,1.9610721e-05
SWIOTLB,1.7285169e-05
IP_SET_HASH_IPMAC,7.991771e-09
MPLS_IPTUNNEL,0.0
NFC_PN533_USB,0.0
IP_SET_HASH_MAC,0.0
HSR,0.00044447382
NFC_PN533_I2C,1.022746e-06
X86_POWERNOW_K7_ACPI,0.0
PATA_SERVERWORKS,0.0
ATH9K_DYNACK,9.20738e-05
SERIAL_FSL_LPUART_CONSOLE,0.0006173918
OMAP_WATCHDOG,3.5863297e-06
DVB_PLL,1.3346137e-06
CHROMEOS_LAPTOP,1.14992545e-05
STACK_TRACER,0.00010328719
X86_POWERNOW_K8,2.6613014e-05
BINFMT_AOUT,0.0
PATA_SIL680,0.0
ATH9K_WOW,4.300705e-05
SERIAL_CONEXANT_DIGICOLOR,1.3984034e-05
MEDIA_TUNER_MT2060,0.0006673662
CHROMEOS_PSTORE,5.89134e-07
