Feature_Selection,Optimizer,Loss_Function,Activation_Function,MAPE(%)
Word2Vec_50pct_03,AdamW,SmoothL1Loss,LeakyReLU,13.124932
Word2Vec_50pct_03,AdamW,SmoothL1Loss,PReLU,13.255739
Word2Vec_50pct_03,AdamW,MSE,ELU,26.937557
Word2Vec_50pct_03,Adam,MSE,ELU,31.124943
Word2Vec_50pct_03,Adam,MAE,LeakyReLU,13.150973
Word2Vec_50pct_03,Adam,MSE,LeakyReLU,21.881447
Word2Vec_50pct_03,AdamW,MAE,PReLU,13.199465
Word2Vec_50pct_03,Adam,MAE,ELU,13.580325
Word2Vec_50pct_03,AdamW,SmoothL1Loss,ReLU,13.078974
Word2Vec_50pct_03,Adam,SmoothL1Loss,ELU,13.70995
Word2Vec_50pct_03,AdamW,MAE,ReLU,13.065927
Word2Vec_50pct_03,Adam,SmoothL1Loss,PReLU,13.310059
Word2Vec_50pct_03,AdamW,MSE,ReLU,21.38309
Word2Vec_50pct_03,AdamW,MAE,LeakyReLU,13.160253
Word2Vec_50pct_03,AdamW,MSE,PReLU,36.335823
RandomForest_30pct_03,AdamW,MAE,ELU,10.104317
RandomForest_30pct_03,Adam,MAE,ReLU,10.232059
RandomForest_30pct_03,AdamW,MSE,LeakyReLU,19.999746
RandomForest_30pct_03,Adam,SmoothL1Loss,ReLU,10.157137
RandomForest_30pct_03,Adam,SmoothL1Loss,LeakyReLU,9.905372
RandomForest_30pct_03,Adam,MSE,PReLU,14.589034
RandomForest_30pct_03,AdamW,SmoothL1Loss,ELU,10.173844
RandomForest_30pct_03,Adam,MAE,PReLU,8.904929
RandomForest_30pct_03,Adam,MSE,ReLU,20.398512
RandomForest_30pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.902463
RandomForest_30pct_03,AdamW,SmoothL1Loss,PReLU,8.729038
RandomForest_30pct_03,AdamW,MSE,ELU,23.83308
RandomForest_30pct_03,Adam,MSE,ELU,22.765846
RandomForest_30pct_03,Adam,MAE,LeakyReLU,9.971472
RandomForest_30pct_03,Adam,MSE,LeakyReLU,21.061312
RandomForest_30pct_03,AdamW,MAE,PReLU,8.723161
RandomForest_30pct_03,Adam,MAE,ELU,10.046385
RandomForest_30pct_03,AdamW,SmoothL1Loss,ReLU,10.181308
RandomForest_30pct_03,Adam,SmoothL1Loss,ELU,10.095415
RandomForest_30pct_03,AdamW,MAE,ReLU,10.164407
RandomForest_30pct_03,Adam,SmoothL1Loss,PReLU,8.79872
RandomForest_30pct_03,AdamW,MSE,ReLU,21.174374
RandomForest_30pct_03,AdamW,MAE,LeakyReLU,9.591756
RandomForest_30pct_03,AdamW,MSE,PReLU,13.776368
RandomForest_50pct_03,AdamW,MAE,ELU,9.105708
RandomForest_50pct_03,Adam,MAE,ReLU,9.86843
RandomForest_50pct_03,AdamW,MSE,LeakyReLU,16.77704
RandomForest_50pct_03,Adam,SmoothL1Loss,ReLU,9.869179
RandomForest_50pct_03,Adam,SmoothL1Loss,LeakyReLU,9.850766
RandomForest_50pct_03,Adam,MSE,PReLU,11.245764
RandomForest_50pct_03,AdamW,SmoothL1Loss,ELU,9.331526
RandomForest_50pct_03,Adam,MAE,PReLU,8.62179
RandomForest_50pct_03,Adam,MSE,ReLU,16.787205
RandomForest_50pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.473326
RandomForest_50pct_03,AdamW,SmoothL1Loss,PReLU,8.497087
RandomForest_50pct_03,AdamW,MSE,ELU,17.394253
RandomForest_50pct_03,Adam,MSE,ELU,17.34753
RandomForest_50pct_03,Adam,MAE,LeakyReLU,9.799487
RandomForest_50pct_03,Adam,MSE,LeakyReLU,16.372786
RandomForest_50pct_03,AdamW,MAE,PReLU,8.653979
RandomForest_50pct_03,Adam,MAE,ELU,9.314321
RandomForest_50pct_03,AdamW,SmoothL1Loss,ReLU,9.803688
RandomForest_50pct_03,Adam,SmoothL1Loss,ELU,9.197785
RandomForest_50pct_03,AdamW,MAE,ReLU,9.6771
RandomForest_50pct_03,Adam,SmoothL1Loss,PReLU,8.622147
RandomForest_50pct_03,AdamW,MSE,ReLU,15.743132
RandomForest_50pct_03,AdamW,MAE,LeakyReLU,9.900238
RandomForest_50pct_03,AdamW,MSE,PReLU,11.008037
